,names,relese_date,run_time,rating_tag,rating
188,14 The World at War,1973–1974,26 eps,TV-PG,9.2
189,15 Bluey,2018–,194 eps,TV-Y,9.4
190,16 Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14,9.1
191,17 Rick and Morty,2013–,74 eps,TV-MA,9.1
192,18 Life,2009,11 eps,TV-G,9.1
193,19 The Last Dance,2020,10 eps,TV-MA,9.1
194,20 The Twilight Zone,1959–1964,156 eps,TV-PG,9.1
195,21 The Vietnam War,2017,10 eps,TV-MA,9.1
196,22 Sherlock,2010–2017,15 eps,TV-14,9.1
197,23 Attack on Titan,2013–2023,98 eps,TV-MA,9.1
198,24 Batman: The Animated Series,1992–1995,85 eps,TV-PG,9.0
199,25 The Office,2005–2013,188 eps,TV-14,9.0
200,1 Breaking Bad,2008–2013,62 eps,TV-MA,9.5
201,2 Planet Earth II,2016,6 eps,TV-G,9.5
202,3 Planet Earth,2006,11 eps,TV-PG,9.4
203,4 Band of Brothers,2001,10 eps,TV-MA,9.4
204,5 Chernobyl,2019,5 eps,TV-MA,9.3
205,6 The Wire,2002–2008,60 eps,TV-MA,9.3
206,7 Avatar: The Last Airbender,2005–2008,62 eps,TV-Y7-FV,9.3
207,8 Blue Planet II,2017,7 eps,TV-G,9.3
208,9 The Sopranos,1999–2007,86 eps,TV-MA,9.2
209,10 Cosmos: A Spacetime Odyssey,2014,13 eps,TV-PG,9.2
210,11 Cosmos,1980,13 eps,TV-PG,9.3
211,12 Our Planet,2019–2023,12 eps,TV-PG,9.3
212,13 Game of Thrones,2011–2019,74 eps,TV-MA,9.2
213,14 The World at War,1973–1974,26 eps,TV-PG,9.2
214,15 Bluey,2018–,194 eps,TV-Y,9.4
215,16 Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14,9.1
216,17 Rick and Morty,2013–,74 eps,TV-MA,9.1
217,18 Life,2009,11 eps,TV-G,9.1
218,19 The Last Dance,2020,10 eps,TV-MA,9.1
219,20 The Twilight Zone,1959–1964,156 eps,TV-PG,9.1
220,21 The Vietnam War,2017,10 eps,TV-MA,9.1
221,22 Sherlock,2010–2017,15 eps,TV-14,9.1
222,23 Attack on Titan,2013–2023,98 eps,TV-MA,9.1
223,24 Batman: The Animated Series,1992–1995,85 eps,TV-PG,9.0
224,25 The Office,2005–2013,188 eps,TV-14,9.0
225,1 Breaking Bad,2008–2013,62 eps,TV-MA,9.5
226,2 Planet Earth II,2016,6 eps,TV-G,9.5
227,3 Planet Earth,2006,11 eps,TV-PG,9.4
228,4 Band of Brothers,2001,10 eps,TV-MA,9.4
229,5 Chernobyl,2019,5 eps,TV-MA,9.3
230,6 The Wire,2002–2008,60 eps,TV-MA,9.3
231,7 Avatar: The Last Airbender,2005–2008,62 eps,TV-Y7-FV,9.3
232,8 Blue Planet II,2017,7 eps,TV-G,9.3
233,9 The Sopranos,1999–2007,86 eps,TV-MA,9.2
234,10 Cosmos: A Spacetime Odyssey,2014,13 eps,TV-PG,9.2
235,11 Cosmos,1980,13 eps,TV-PG,9.3
236,12 Our Planet,2019–2023,12 eps,TV-PG,9.3
237,13 Game of Thrones,2011–2019,74 eps,TV-MA,9.2
238,14 The World at War,1973–1974,26 eps,TV-PG,9.2
239,15 Bluey,2018–,194 eps,TV-Y,9.4
240,16 Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14,9.1
241,17 Rick and Morty,2013–,74 eps,TV-MA,9.1
242,18 Life,2009,11 eps,TV-G,9.1
243,19 The Last Dance,2020,10 eps,TV-MA,9.1
244,20 The Twilight Zone,1959–1964,156 eps,TV-PG,9.1
245,21 The Vietnam War,2017,10 eps,TV-MA,9.1
246,22 Sherlock,2010–2017,15 eps,TV-14,9.1
247,23 Attack on Titan,2013–2023,98 eps,TV-MA,9.1
248,24 Batman: The Animated Series,1992–1995,85 eps,TV-PG,9.0
249,25 The Office,2005–2013,188 eps,TV-14,9.0
